team,points,gd,goalsFor,goalsAgainst
Leicester,102,40,83,43
Burnley,93,35,72,37
Derby,85,32,84,52
QPR,80,16,60,44
Wigan,73,13,61,48
Brighton,72,15,55,40
Reading,71,14,70,56
Blackburn,70,8,70,62
Ipswich,68,6,60,54
Bournemouth,66,1,67,66
Notts Forest,65,3,67,64
Middlesbrough,64,12,62,50
Watford,60,10,74,64
Bolton,59,-1,59,60
Leeds,57,-8,59,67
Sheffield Wednesday,53,-2,63,65
Huddersfield,53,-7,58,65
Charlton,51,-20,41,61
Millwall,48,-28,46,74
Blackpool,46,-28,38,66
Birmingham,44,-16,58,74
Doncaster,44,-31,39,70
Barnsley,39,-33,44,77
Yeovil,37,-31,44,75
